section;subsection;element;Value
Data;Biodiversity data;Sampling design;"
ENMTML workflow
"
Data;Biodiversity data;Sample size;Figure S4
Data;Biodiversity data;Clipping;Terrestrial areas of the world
Data;Biodiversity data;Scaling;
Data;Biodiversity data;Cleaning;Data cleaning: Temporal range from 1970-2020. Cleaning process through CCleaner packageSpecies with at least 40 presences.
Data;Biodiversity data;Absence data;
Data;Biodiversity data;Background data;Background data/pseudo-absences: pseudo-absences were generated using the target‐group method. 
Data;Biodiversity data;Errors and biases;Errors and biases: Sampling rates estimates through sampbias R package.
Data;Data partitioning;Training data;"4. The training data balanced with the ratio of presence to pseudo-absences points being 1:1. 
"
Data;Data partitioning;Validation data;
Data;Data partitioning;Test data;Ratio of 75:25 training:test cross-validation splits with 10 repeats. 
Data;Predictor variables;Predictor variables;
Data;Predictor variables;Data sources;Table S3
Data;Predictor variables;Spatial extent;
Data;Predictor variables;Spatial resolution;Table S3
Data;Predictor variables;Coordinate reference system;WGS84
Data;Predictor variables;Temporal extent;
Data;Predictor variables;Temporal resolution;
Data;Predictor variables;Data processing;Covariates resampled to 0.25 dd
Data;Predictor variables;Errors and biases;
Data;Predictor variables;Dimension reduction;
Data;Transfer data;Data sources;
Data;Transfer data;Spatial extent;
Data;Transfer data;Spatial resolution;
Data;Transfer data;Temporal extent;
Data;Transfer data;Temporal resolution;
Data;Transfer data;Models and scenarios;
Data;Transfer data;Data processing;"Future-occurrence predictions were made for each species and then ensembled per period per GCM and SSP. 
Area calculation through raster package"
Data;Transfer data;Quantification of Novelty;
Model;Variable pre-selection;Variable pre-selection;Relevance for our conceptual model of important native habitats for the selected species
Model;Multicollinearity;Multicollinearity;All bioclimatic covariates, karst layer and forest layer were pre-selected and then filtered after correlation analysis. 
Model;Model settings;Model settings (fitting);MXS' and 'MXD' algorithms allowed
Model;Model settings;Model settings (extrapolation);Extrapolations over near-current accessible areas assuming MSDM 'OBR' for the present
Model;Model estimates;Coefficients;
Model;Model estimates;Parameter uncertainty;
Model;Model estimates;Variable importance;correlative
Model;Model selection - model averaging - ensembles;Model selection;None
Model;Model selection - model averaging - ensembles;Model averaging;
Model;Model selection - model averaging - ensembles;Model ensembles;Weighted averaging of the algorithms.
Model;Analysis and Correction of non-independence;Spatial autocorrelation;
Model;Analysis and Correction of non-independence;Temporal autocorrelation;
Model;Analysis and Correction of non-independence;Nested data;
Model;Threshold selection;Threshold selection;We used the sensitivity‐specificity sum maximisation (max TSS) approach to select the optimal suitability threshold.
Assessment;Performance statistics;Performance on training data;
Assessment;Performance statistics;Performance on validation data;TSS
Assessment;Performance statistics;Performance on test data;TSS
Assessment;Plausibility check;Response shapes;
Assessment;Plausibility check;Expert judgement;Our experience, IUCN polygons and the Handbook of the Mammals of the World
Prediction;Prediction output;Prediction unit;Continuous suitability and estimated richness for hotspots inference (sum of final binary maps)
Prediction;Prediction output;Post-processing;Area calculation through raster package
Prediction;Uncertainty quantification;Algorithmic uncertainty;Ensemble over two algorithms and 10 repeats
Prediction;Uncertainty quantification;Input data uncertainty;Sampling bias adjusted map in Figure 2. 2 SSPs and 2 GCMs for future scenarios. 
Prediction;Uncertainty quantification;Parameter uncertainty;Table S2 for parameters used in sampbias
Prediction;Uncertainty quantification;Scenario uncertainty;SSP245 and SSP585 scenario evaluation
Prediction;Uncertainty quantification;Novel environments;
